关键词，来源，页码，含义，频率，审核，备注
左耳进右耳出，《A 娃养育手册》,P23，听觉记忆弱，高，，
说啥忘啥，《A 娃养育手册》,P25，工作记忆弱，中，，
记性差，《分心多动不可怕》,P30，记忆能力弱，中，，
坐不住，《A 娃养育手册》,P45，多动表现，高，，
老是走神，《分心多动不可怕》,P20，注意力分散，高，，
注意力不集中，《分心多动不可怕》,P18，注意缺陷，高，，
做事三分钟热度，《分心的孩子这样教》,P50，坚持性弱，中，，
虎头蛇尾，《分心的孩子这样教》,P52，任务坚持弱，中，，
东张西望，《多动症儿童日常生活的科学管理》,P35，注意力分散，中，，
心不在焉，《多动症儿童日常生活的科学管理》,P38，注意力不集中，中，，
冲动，《A 娃养育手册》,P60，冲动控制弱，高，，
控制不住自己，《A 娃养育手册》,P62，自我控制弱，高，，
行动先于思考，《分心多动不可怕》,P65，冲动行为，中，，
插嘴，《老师管理 ADHD 学生的方法与策略》,P20，言语冲动，高，，
抢东西，《老师管理 ADHD 学生的方法与策略》,P22，行为冲动，中，，
不耐烦，《多动症儿童日常生活的科学管理》,P70，情绪冲动，高，，
容易发脾气，《多动症儿童日常生活的科学管理》,P72，情绪调节弱，高，，
脾气大，《暴脾气小孩》,P15，易怒，高，，
易怒，《暴脾气小孩》,P18，情绪易激惹，中，，
执拗，《暴脾气小孩》,P20，固执己见，中，，
暴躁，《如何引导暴躁的孩子》,P10，情绪爆发，高，，
情绪化，《接纳孩子》,P25，情绪波动，中，，
玻璃心，《接纳孩子》,P28，情绪敏感，中，，
输不起，《十步搞定叛逆青少年》,P40，挫折耐受低，高，，
容易沮丧，《十步搞定叛逆青少年》,P42，挫折反应，中，，
叛逆，《对话叛逆期》,P15，对抗行为，高，，
对着干，《对话叛逆期》,P18，对立行为，高，，
不听管教，《叛逆不是孩子的错》,P20，不服从，高，，
情绪波动大，《叛逆不是孩子的错》,P25，情绪不稳定，中，，
不会表达，《如何说》,P30，表达能力弱，高，，
说不清楚，《如何说》,P32，语言表达困难，中，，
词不达意，《孩子，把你的手给我》,P25，语言组织弱，中，，
无法描述感受，《孩子，把你的手给我》,P28，情感表达困难，中，，
不会求助，《亲子关系全面技巧》,P40，功能性沟通弱，高，，
用行为代替语言，《亲子关系全面技巧》,P42，沟通方式不当，中，，
听不懂指令，《倾听孩子》,P35，语言理解困难，高，，
不回应，《倾听孩子》,P38，社交沟通弱，高，，
不说话，《和孩子划清界限》,P50，语言缺乏，中，，
语言发育迟缓，《十步搞定叛逆青少年》,P60，发育问题，中，，
只会说单词，《十步搞定叛逆青少年》,P62，语言能力有限，低，，
无法进行对话，《A 亲子成长 8 步法》,P45，对话能力弱，中，，
不会交朋友，《如何说》,P80，同伴交往困难，高，，
没有朋友，《如何说》,P82，社交孤立，中，，
不合群，《孩子，把你的手给我》,P70，社交回避，高，，
不知道如何加入，《孩子，把你的手给我》,P72，社交技能缺乏，中，，
被排斥，《亲子关系全面技巧》,P90，同伴关系困难，中，，
被孤立，《亲子关系全面技巧》,P92，社交困难，中，，
不会分享，《倾听孩子》,P60，分享技能缺乏，高，，
不会轮流，《倾听孩子》,P62，轮流技能缺乏，中，，
不会合作，《和孩子划清界限》,P80，合作技能缺乏，高，，
不会解决冲突，《父母效能训练》,P70，冲突解决困难，中，，
不会道歉，《父母效能训练》,P72，社交技能缺乏，中，，
不会安慰别人，《十步搞定叛逆青少年》,P90，共情技能缺乏，低，，
